tt1535438 {'critics_score': 74, 'audience_score': 58} 
tt1226271 {'critics_score': 94, 'audience_score': 78} 
tt0259324 {'critics_score': 26, 'audience_score': 56} 
tt0454921 {'critics_score': 66, 'audience_score': 88} 
tt0395495 {'critics_score': 21, 'audience_score': 57} 
tt0489070 {'critics_score': -1, 'audience_score': 34} 
tt0433386 {'critics_score': 10, 'audience_score': 57} 
tt0405676 {'critics_score': -1, 'audience_score': 0} 
tt0389860 {'critics_score': 33, 'audience_score': 72} 
tt0422720 {'critics_score': 55, 'audience_score': 56} 
tt0449077 {'critics_score': -1, 'audience_score': 39} 
tt0369441 {'critics_score': 29, 'audience_score': 58} 
tt0395251 {'critics_score': 51, 'audience_score': 63} 
tt0397535 {'critics_score': 35, 'audience_score': 82} 
tt0443295 {'critics_score': 6, 'audience_score': 64} 
tt0406375 {'critics_score': 75, 'audience_score': 54} 
tt0386140 {'critics_score': 26, 'audience_score': 61} 
tt0443567 {'critics_score': -1, 'audience_score': 73} 
tt0378109 {'critics_score': 21, 'audience_score': 67} 
tt0367652 {'critics_score': 9, 'audience_score': 51} 
tt0382992 {'critics_score': 13, 'audience_score': 48} 
tt0374536 {'critics_score': 25, 'audience_score': 39} 
tt0424774 {'critics_score': 20, 'audience_score': 38} 
tt0355702 {'critics_score': 55, 'audience_score': 80} 
tt0398165 {'critics_score': 31, 'audience_score': 67} 
tt0329774 {'critics_score': 16, 'audience_score': 51} 
tt0372237 {'critics_score': 43, 'audience_score': 59} 
tt0386588 {'critics_score': 69, 'audience_score': 65} 
tt0371246 {'critics_score': 53, 'audience_score': 62} 
tt0316654 {'critics_score': 93, 'audience_score': 81} 
tt0363988 {'critics_score': 46, 'audience_score': 69} 
tt0343660 {'critics_score': 44, 'audience_score': 68} 
tt0337741 {'critics_score': 71, 'audience_score': 68} 
tt0319061 {'critics_score': 77, 'audience_score': 86} 
tt0316396 {'critics_score': 77, 'audience_score': 68} 
tt0307987 {'critics_score': 77, 'audience_score': 73} 
tt0348836 {'critics_score': 15, 'audience_score': 56} 
tt0327850 {'critics_score': 71, 'audience_score': 72} 
tt0285823 {'critics_score': 69, 'audience_score': 66} 
tt0257076 {'critics_score': 48, 'audience_score': 63} 
tt0172156 {'critics_score': 23, 'audience_score': 80} 
tt0305357 {'critics_score': 43, 'audience_score': 54} 
tt0367046 {'critics_score': -1, 'audience_score': 0} 
tt0309698 {'critics_score': 62, 'audience_score': 76} 
tt0362107 {'critics_score': -1, 'audience_score': 44} 
tt0350804 {'critics_score': -1, 'audience_score': 41} 
tt0304328 {'critics_score': 35, 'audience_score': 42} 
tt0271668 {'critics_score': 11, 'audience_score': 53} 
tt0338450 {'critics_score': -1, 'audience_score': 46} 
tt0297181 {'critics_score': 57, 'audience_score': 48} 
tt0243585 {'critics_score': 81, 'audience_score': 44} 
tt0120912 {'critics_score': 39, 'audience_score': 57} 
tt0280590 {'critics_score': 22, 'audience_score': 68} 
tt0278435 {'critics_score': 22, 'audience_score': 71} 
tt0145487 {'critics_score': -1, 'audience_score': 75} 
tt0253867 {'critics_score': 26, 'audience_score': 68} 
tt0258000 {'critics_score': 76, 'audience_score': 61} 
tt0287934 {'critics_score': 20, 'audience_score': 70} 
tt0248667 {'critics_score': 67, 'audience_score': 65} 
tt0277371 {'critics_score': 28, 'audience_score': 60} 
tt0245674 {'critics_score': 13, 'audience_score': 60} 
tt0118589 {'critics_score': 7, 'audience_score': 45} 
tt0221218 {'critics_score': 21, 'audience_score': 47} 
tt0251075 {'critics_score': 43, 'audience_score': 50} 
tt0245686 {'critics_score': 11, 'audience_score': 63} 
tt0183790 {'critics_score': 58, 'audience_score': 80} 
tt0236784 {'critics_score': 77, 'audience_score': 43} 
tt0239948 {'critics_score': 18, 'audience_score': 50} 
tt0209475 {'critics_score': -1, 'audience_score': 20} 
tt0149624 {'critics_score': 32, 'audience_score': 42} 
tt0181536 {'critics_score': 73, 'audience_score': 76} 
tt0190865 {'critics_score': 48, 'audience_score': 44} 
tt0160127 {'critics_score': 67, 'audience_score': 54} 
tt0208092 {'critics_score': 73, 'audience_score': 92} 
tt0164052 {'critics_score': 27, 'audience_score': 35} 
tt0187393 {'critics_score': 62, 'audience_score': 80} 
tt0244504 {'critics_score': 75, 'audience_score': 63} 
tt0210616 {'critics_score': 43, 'audience_score': 78} 
tt0167203 {'critics_score': 9, 'audience_score': 56} 
tt0202402 {'critics_score': 17, 'audience_score': 51} 
tt0181151 {'critics_score': 42, 'audience_score': 26} 
tt0162983 {'critics_score': 12, 'audience_score': 35} 
tt0191754 {'critics_score': 31, 'audience_score': 53} 
tt0182789 {'critics_score': 37, 'audience_score': 58} 
tt0173910 {'critics_score': 27, 'audience_score': 66} 
tt0172493 {'critics_score': 54, 'audience_score': 83} 
tt0164912 {'critics_score': 66, 'audience_score': 45} 
tt0172396 {'critics_score': 67, 'audience_score': 71} 
tt0156934 {'critics_score': 15, 'audience_score': 27} 
tt0142201 {'critics_score': 31, 'audience_score': 55} 
tt0209189 {'critics_score': 95, 'audience_score': 87} 
tt0145681 {'critics_score': 28, 'audience_score': 68} 
tt0138510 {'critics_score': 15, 'audience_score': 56} 
tt0120646 {'critics_score': 44, 'audience_score': 61} 
tt0139134 {'critics_score': 48, 'audience_score': 79} 
